DATE,MAIN,VOO,QQQ
2023-01-04,20.02,20.0,20.0
2023-01-05,19.55,19.78,19.69
2023-01-06,20.24,20.23,20.23
2023-01-09,40.24,40.21,40.36
2023-01-10,40.92,40.5,40.7
2023-01-11,42.57,41.02,41.41
2023-01-12,42.6,41.17,41.63
2023-01-13,43.47,41.33,41.92
2023-01-17,63.7,61.27,62.0
2023-01-18,62.31,60.27,61.2
2023-01-19,62.11,59.84,60.6
2023-01-20,63.34,60.94,62.25
2023-01-23,83.92,81.69,83.64
2023-01-24,83.36,81.6,83.47
2023-01-25,83.82,81.63,83.28
2023-01-26,84.9,82.5,84.9
2023-01-27,87.11,82.73,85.75
2023-01-30,105.38,101.7,104.02
2023-01-31,108.44,103.14,105.58
2023-02-01,110.41,104.27,107.83
2023-02-02,115.58,105.77,111.7
2023-02-03,112.52,104.64,109.72
2023-02-06,131.46,124.03,128.79
2023-02-07,133.15,125.63,131.46
2023-02-08,132.49,124.26,129.12
2023-02-09,129.04,123.19,127.98
2023-02-10,127.71,123.49,127.14
2023-02-13,128.51,124.92,129.18
2023-02-14,130.81,124.87,130.13
2023-02-15,160.67,145.29,151.13
2023-02-16,157.42,143.27,148.29
2023-02-17,153.43,142.9,147.25
2023-02-21,168.62,160.06,163.76
2023-02-22,169.58,159.86,163.88
2023-02-23,167.63,160.66,165.32
2023-02-24,162.78,158.94,162.55
2023-02-27,183.68,179.57,183.78
2023-02-28,185.31,178.89,183.54
2023-03-01,181.26,178.23,182.07
2023-03-02,183.84,179.57,183.58
2023-03-03,189.83,182.41,187.37
2023-03-06,208.16,202.63,207.58
2023-03-07,207.1,199.5,205.04
2023-03-08,208.68,199.81,206.06
2023-03-09,201.72,196.15,202.49
2023-03-10,192.47,193.34,199.65
2023-03-13,214.25,213.01,221.13
2023-03-14,220.27,216.55,226.21
2023-03-15,220.35,215.21,227.39
2023-03-16,227.27,218.89,233.39
2023-03-17,224.27,216.5,232.29
2023-03-20,222.73,218.45,233.48
2023-03-21,230.01,221.31,236.8
2023-03-22,224.61,217.64,233.59
2023-03-23,242.4,238.15,256.35
2023-03-24,240.49,240.75,257.29
2023-03-27,241.31,241.15,255.53
2023-03-28,259.64,260.73,274.17
2023-03-29,266.25,264.42,279.16
2023-03-30,269.91,265.99,281.8
2023-03-31,275.17,269.69,286.48
2023-04-03,295.01,290.76,305.79
2023-04-04,293.47,289.12,304.76
2023-04-05,288.09,288.43,301.75
2023-04-06,289.97,289.52,303.79
2023-04-10,311.34,309.84,323.61
2023-04-11,311.26,309.88,321.54
2023-04-12,305.22,308.65,318.7
2023-04-13,311.32,312.64,324.93
2023-04-14,309.79,312.0,324.32
2023-04-17,329.78,333.05,344.6
2023-04-18,329.22,333.28,344.62
2023-04-19,329.71,333.26,344.46
2023-04-20,326.4,331.39,341.84
2023-04-21,325.41,331.58,342.19
2023-04-24,344.79,352.01,361.48
2023-04-25,335.14,346.47,354.67
2023-04-26,335.29,344.93,356.81
2023-04-27,341.99,351.75,366.51
2023-04-28,345.42,354.75,369.03
2023-05-01,365.33,374.51,388.61
2023-05-02,363.22,370.33,385.22
2023-05-03,362.22,367.75,382.71
2023-05-04,362.69,365.07,381.36
2023-05-05,372.34,371.75,389.45
2023-05-08,375.99,371.96,390.42
2023-05-09,394.05,390.36,407.95
2023-05-10,390.28,392.06,412.39
2023-05-11,387.47,391.51,413.73
2023-05-12,380.83,390.99,412.25
2023-05-15,385.5,392.34,414.48
2023-05-16,382.94,389.75,414.94
2023-05-17,413.34,414.4,439.97
2023-05-18,422.21,418.44,448.14
2023-05-19,419.19,417.78,447.13
2023-05-22,423.64,418.01,448.63
2023-05-23,437.63,433.45,463.05
2023-05-24,436.16,430.21,460.68
2023-05-25,438.22,433.95,471.88
2023-05-26,446.69,439.57,483.92
2023-05-30,472.92,459.91,506.32
2023-05-31,470.72,457.41,503.44
2023-06-01,479.18,461.79,509.25
2023-06-02,480.92,468.55,513.07
2023-06-05,500.16,487.65,533.43
2023-06-06,503.19,488.65,533.34
2023-06-07,515.0,507.05,544.3
2023-06-08,527.22,510.09,551.05
2023-06-09,525.22,510.94,553.15
2023-06-12,530.66,515.62,562.5
2023-06-13,556.99,539.42,587.21
2023-06-14,557.03,539.83,591.48
2023-06-15,562.82,546.74,598.52
2023-06-16,556.86,544.73,594.76
2023-06-20,575.97,562.42,614.93
2023-06-21,612.13,601.15,648.38
2023-06-22,618.54,603.34,656.02
2023-06-23,612.24,598.82,649.52
2023-06-26,626.74,616.55,661.03
2023-06-27,638.76,623.37,672.38
2023-06-28,646.79,623.65,673.69
2023-06-29,641.32,628.57,672.34
2023-06-30,650.37,635.97,682.69
2023-07-03,675.37,657.44,704.55
2023-07-05,674.59,655.98,704.53
2023-07-06,680.83,670.86,719.37
2023-07-07,684.19,669.3,716.99
2023-07-10,686.44,671.09,717.22
2023-07-11,720.03,695.57,740.96
2023-07-12,731.55,701.01,750.3
2023-07-13,745.63,706.7,763.02
2023-07-14,740.35,706.14,762.86
2023-07-17,769.86,728.86,790.24
2023-07-18,778.18,734.36,796.7
2023-07-19,778.14,735.93,796.51
2023-07-20,773.93,751.35,798.38
2023-07-21,772.29,751.44,795.99
2023-07-24,790.04,774.81,817.46
2023-07-25,794.47,777.09,822.99
2023-07-26,801.18,777.27,820.26
2023-07-27,810.81,792.22,838.5
2023-07-28,833.97,799.9,853.75
2023-07-31,842.42,801.44,854.2
2023-08-01,855.48,819.17,872.42
2023-08-02,866.9,847.99,893.42
2023-08-03,864.69,845.6,891.99
2023-08-04,859.76,841.48,887.82
2023-08-07,862.63,849.03,895.33
2023-08-08,873.42,865.58,907.93
2023-08-09,866.01,859.85,897.96
2023-08-10,866.56,860.35,899.62
2023-08-11,858.79,859.56,893.89
2023-08-14,886.72,884.39,923.91
2023-08-15,873.41,874.29,914.12
2023-08-16,858.93,867.85,904.45
2023-08-17,846.71,860.85,894.58
2023-08-18,848.19,861.65,893.46
2023-08-21,860.88,867.31,907.84
2023-08-22,861.56,864.9,906.54
2023-08-23,897.83,894.58,941.22
2023-08-24,874.61,882.74,921.13
2023-08-25,880.6,888.56,928.26
2023-08-28,885.53,894.38,935.23
2023-08-29,926.4,927.26,975.85
2023-08-30,934.75,931.11,981.29
2023-08-31,940.27,929.93,984.23
2023-09-01,943.6,931.89,983.19
2023-09-05,970.86,948.23,1004.82
2023-09-06,961.97,941.7,995.98
2023-09-07,968.66,958.66,1008.61
2023-09-08,970.78,959.97,1010.02
2023-09-11,996.73,986.45,1042.11
2023-09-12,987.42,981.18,1030.56
2023-09-13,981.68,982.33,1034.49
2023-09-14,980.72,990.8,1042.94
2023-09-15,963.1,978.49,1025.1
2023-09-18,976.5,999.8,1047.91
2023-09-19,971.34,997.8,1045.68
2023-09-20,977.81,1010.27,1052.42
2023-09-21,968.47,1012.4,1051.82
2023-09-22,965.05,1009.97,1051.96
2023-09-25,989.99,1034.38,1077.18
2023-09-26,973.06,1019.26,1061.04
2023-09-27,977.4,1019.49,1063.52
2023-09-28,990.36,1029.41,1072.4
2023-09-29,993.6,1026.97,1073.17
2023-10-02,1015.87,1047.89,1103.11
2023-10-03,990.1,1033.9,1083.79
2023-10-04,1008.48,1041.45,1098.51
2023-10-05,1003.5,1040.58,1095.28
2023-10-06,1028.04,1052.9,1113.58
2023-10-09,1050.93,1080.87,1140.25
2023-10-10,1067.93,1086.41,1146.55
2023-10-11,1071.19,1090.97,1154.71
2023-10-12,1061.44,1084.46,1150.71
2023-10-13,1040.13,1078.78,1136.28
2023-10-16,1075.12,1110.5,1169.6
2023-10-17,1072.59,1110.53,1165.77
2023-10-18,1046.53,1095.77,1150.52
2023-10-19,1043.56,1086.54,1139.78
2023-10-20,1022.2,1073.11,1122.81
2023-10-23,1024.77,1071.23,1126.19
2023-10-24,1059.81,1099.39,1157.32
2023-10-25,1028.09,1083.99,1129.06
2023-10-26,1024.67,1090.98,1127.79
2023-10-27,1027.39,1086.17,1133.19
2023-10-30,1040.42,1099.15,1145.92
2023-10-31,1048.36,1105.76,1151.39
2023-11-01,1083.18,1138.85,1192.33
2023-11-02,1115.93,1160.34,1213.92
2023-11-03,1146.79,1171.0,1228.15
2023-11-06,1166.89,1198.25,1258.15
2023-11-07,1184.39,1201.61,1270.02
2023-11-08,1183.96,1202.59,1270.84
2023-11-09,1168.04,1193.57,1261.08
2023-11-10,1179.23,1212.08,1289.37
2023-11-13,1204.56,1235.86,1310.36
2023-11-14,1248.0,1259.46,1338.51
2023-11-15,1251.4,1262.19,1339.51
2023-11-16,1244.14,1263.95,1340.65
2023-11-17,1275.19,1290.81,1365.97
2023-11-20,1318.76,1325.47,1407.56
2023-11-21,1307.33,1322.03,1399.4
2023-11-22,1318.8,1327.71,1405.12
2023-11-24,1319.35,1328.44,1403.14
2023-11-27,1351.63,1351.14,1426.92
2023-11-28,1355.57,1352.45,1430.65
2023-11-29,1367.29,1351.59,1429.26
2023-11-30,1363.06,1356.8,1425.67
2023-12-01,1386.83,1364.71,1429.74
2023-12-04,1400.9,1382.89,1441.49
2023-12-05,1402.07,1382.47,1445.1
2023-12-06,1402.1,1376.73,1436.76
2023-12-07,1418.52,1387.45,1456.79
2023-12-08,1429.95,1393.31,1463.27
2023-12-11,1540.93,1498.48,1575.55
2023-12-12,1549.33,1505.89,1588.08
2023-12-13,1573.2,1526.3,1608.24
2023-12-14,1600.65,1530.76,1606.85
2023-12-15,1605.02,1528.44,1614.6
2023-12-18,1761.94,1687.0,1777.97
2023-12-19,1777.81,1697.22,1787.03
2023-12-20,1732.96,1679.98,1760.56
2023-12-21,1762.45,1696.21,1780.97
2023-12-22,1765.9,1700.12,1783.63
2023-12-26,1899.16,1832.03,1919.41
2023-12-27,1908.91,1835.35,1924.33
2023-12-28,1902.31,1835.64,1923.39
2023-12-29,1881.73,1830.78,1915.1
2024-01-02,2210.15,2197.84,2261.47
2024-01-03,2166.41,2181.64,2237.61
2024-01-04,2166.56,2174.8,2226.13
2024-01-05,2171.76,2177.57,2228.77
2024-01-08,2351.65,2333.5,2399.69
2024-01-09,2369.78,2327.86,2404.41
2024-01-10,2389.62,2343.12,2420.66
2024-01-11,2390.27,2342.33,2425.69
2024-01-12,2376.55,2343.39,2426.93
2024-01-16,2483.64,2459.4,2550.62
2024-01-17,2461.95,2445.79,2536.27
2024-01-18,2487.58,2467.41,2572.17
2024-01-19,2530.57,2497.43,2623.04
2024-01-22,2671.96,2628.05,2751.42
2024-01-23,2690.0,2635.81,2762.81
2024-01-24,2707.21,2637.99,2778.1
2024-01-25,2703.93,2652.75,2781.48
2024-01-26,2721.47,2651.16,2764.95
2024-01-29,2902.55,2802.05,2924.92
2024-01-30,3841.44,3799.24,3904.65
2024-01-31,3772.47,3737.58,3828.31
2024-02-01,3821.06,3786.57,3873.31
2024-02-02,3909.54,3825.32,3938.65
2024-02-05,4909.11,4841.03,4963.16
2024-02-06,4885.17,4856.07,4953.21
2024-02-07,4979.67,4895.84,5004.11
2024-02-08,5047.74,4899.14,5013.36
2024-02-09,5068.44,4926.87,5062.64
2024-02-12,6253.71,6103.65,6221.89
2024-02-13,7049.1,7017.44,7124.55
2024-02-14,7186.59,7084.08,7202.12
2024-02-15,7352.43,7131.89,7223.54
2024-02-16,7256.74,7095.49,7158.1
2024-02-20,7867.61,7818.31,7865.82
2024-02-21,8810.73,8827.0,8835.21
2024-02-22,9094.45,9012.13,9093.66
2024-02-23,8929.95,9016.18,9066.9
2024-02-26,9932.67,9983.25,10062.19
2024-02-27,9976.75,10001.68,10086.38
2024-02-28,9922.26,9986.25,10032.71
2024-02-29,10030.68,10023.12,10118.62
2024-03-01,10092.62,10119.57,10270.87
2024-03-04,11046.25,11108.15,11234.83
2024-03-05,10819.16,10996.95,11033.3
2024-03-06,11093.32,11055.14,11102.58
2024-03-07,11272.41,11164.46,11270.99
2024-03-08,11141.84,11096.85,11108.4
2024-03-11,11993.67,12087.95,12067.48
2024-03-12,12269.17,12217.16,12240.36
2024-03-13,12250.53,12198.67,12146.34
2024-03-14,12179.81,12171.95,12115.73
2024-03-15,11910.46,12088.21,11971.8
2024-03-18,13977.58,14163.93,14102.1
2024-03-19,14047.52,14243.21,14137.18
2024-03-20,14352.12,14367.37,14304.52
2024-03-21,14473.46,14415.23,14372.11
2024-03-22,14457.0,14443.76,14388.52
2024-03-25,15412.06,15407.98,15337.82
2024-03-26,15371.58,15364.96,15288.24
2024-03-27,15321.39,15498.53,15340.23
2024-03-28,15281.62,15496.6,15312.0
2024-04-01,16360.54,16480.79,16348.79
2024-04-02,16209.82,16373.4,16207.9
2024-04-03,16184.1,16388.1,16244.22
2024-04-04,15922.93,16187.0,15996.19
2024-04-05,16227.07,16358.35,16184.42
2024-04-08,17191.4,17364.79,17189.13
2024-04-09,17245.21,17386.2,17252.64
2024-04-10,17171.16,17218.51,17102.24
2024-04-11,17429.41,17342.28,17374.97
2024-04-12,17032.94,17106.71,17098.35
2024-04-15,17557.48,17890.28,17817.37
2024-04-16,17627.74,17858.36,17819.03
2024-04-17,17384.21,17751.07,17601.89
2024-04-18,17214.56,17710.7,17501.58
2024-04-19,16768.15,17563.03,17139.96
2024-04-22,17928.88,18714.99,18312.18
2024-04-23,18395.18,18950.26,18585.11
2024-04-24,18372.93,18936.44,18647.99
2024-04-25,18456.37,18858.42,18558.03
2024-04-26,18756.75,19046.56,18844.06
2024-04-29,19917.4,20112.8,19920.48
2024-04-30,19438.2,19795.89,19545.28
2024-05-01,19397.89,19731.74,19404.13
2024-05-02,19597.57,19915.22,19651.5
2024-05-03,20077.82,20161.55,20046.0
2024-05-06,21485.02,21368.24,21269.27
2024-05-07,21319.92,21398.75,21272.65
2024-05-08,20947.93,21399.65,21260.1
2024-05-09,20711.83,21522.18,21306.43
2024-05-10,20725.87,21548.66,21356.62
2024-05-13,21760.45,22550.0,22405.84
2024-05-14,21921.96,22656.62,22549.81
2024-05-15,22286.62,22931.87,22901.91
2024-05-16,22211.41,22888.18,22855.44
2024-05-17,22285.54,22922.0,22844.33
2024-05-20,23421.57,23944.6,24003.49
2024-05-21,23361.97,24008.82,24050.41
2024-05-22,23266.9,23939.21,24045.66
2024-05-23,23065.96,23761.75,23937.6
2024-05-24,23398.1,23923.03,24163.74
2024-05-28,24313.73,24941.41,25254.19
2024-05-29,24195.42,24766.22,25076.35
2024-05-30,23859.79,24600.23,24807.94
2024-05-31,23828.75,24813.72,24761.84
2024-06-03,24849.22,25845.21,25899.11
2024-06-04,24826.72,25876.57,25969.92
2024-06-05,25448.68,26185.34,26493.0
2024-06-06,25570.12,26179.49,26483.86
2024-06-07,25516.4,26145.48,26460.45
2024-06-10,26480.52,27231.27,27567.47
2024-06-11,26581.23,27293.06,27756.5
2024-06-12,26968.76,27519.84,28119.74
2024-06-13,27093.45,27571.7,28272.03
2024-06-14,27038.64,27593.77,28418.4
2024-06-17,28471.5,28812.43,29766.39
2024-06-18,28532.94,28889.03,29775.59
2024-06-20,28256.93,28808.99,29546.25
2024-06-21,28276.74,28746.11,29467.15
2024-06-24,28724.25,29668.19,30178.37
2024-06-25,29133.86,29791.25,30522.68
2024-06-26,29362.71,29824.38,30585.56
2024-06-27,29482.48,29870.53,30664.34
2024-06-28,29250.76,29863.48,30505.52
2024-07-01,30370.01,30935.87,31688.16
2024-07-02,30707.74,31135.34,32020.13
2024-07-03,31106.68,31275.28,32286.5
2024-07-05,31411.4,31461.24,32622.42
2024-07-08,32550.21,32491.25,33699.77
2024-07-09,32589.16,32526.71,33728.84
2024-07-10,32628.09,32838.32,34079.79
2024-07-11,31999.06,32558.38,33333.95
2024-07-12,32345.42,32758.52,33529.37
2024-07-15,33264.92,33857.36,34619.33
2024-07-16,33490.99,34048.6,34632.56
2024-07-17,33079.23,34575.31,34617.9
2024-07-18,32761.34,34316.48,34454.4
2024-07-19,32381.49,34088.59,34149.63
2024-07-22,33732.73,35440.83,35657.32
2024-07-23,33703.5,35382.02,35531.89
2024-07-24,32097.35,34576.0,34259.86
2024-07-25,31940.69,34402.33,33882.83
2024-07-26,32333.24,34786.32,34229.61
2024-07-29,32327.18,34811.92,34298.23
2024-07-30,32807.06,35630.76,34828.34
2024-07-31,33944.98,36189.64,35856.96
2024-08-01,32737.8,35698.4,34990.15
2024-08-02,31989.11,35049.1,34161.33
2024-08-05,32249.06,35005.49,34148.52
2024-08-06,32942.42,35352.97,34474.15
2024-08-07,32727.08,35108.86,34101.56
2024-08-08,33564.51,35924.03,35142.61
2024-08-09,33694.17,36077.24,35325.77
2024-08-12,34629.53,37095.6,36401.72
2024-08-13,35495.31,37708.93,37303.21
2024-08-14,35593.06,37828.73,37315.28
2024-08-15,36789.86,38475.21,38256.21
2024-08-16,36760.49,38555.84,38305.31
2024-08-19,38190.84,39924.63,39807.16
2024-08-20,37933.97,39858.94,39723.77
2024-08-21,38332.18,39998.06,39908.72
2024-08-22,37649.93,39675.75,39277.09
2024-08-23,38134.86,40103.17,39702.3
2024-08-26,38631.47,41005.33,40317.86
2024-08-27,38751.64,41060.0,40438.09
2024-08-28,38167.44,40826.26,39980.02
2024-08-29,38273.79,40832.61,39921.6
2024-08-30,38820.22,41215.29,40396.6
2024-09-03,37569.75,40384.94,39172.25
2024-09-04,37361.44,40285.11,39070.65
2024-09-05,37517.99,40186.07,39107.06
2024-09-06,36385.58,39519.73,38061.36
2024-09-09,36937.91,39962.63,38549.91
2024-09-10,38128.37,41130.45,39909.34
2024-09-11,39017.16,41549.55,40774.46
2024-09-12,39496.54,41905.31,41174.02
2024-09-13,39935.33,42127.05,41358.16
2024-09-16,40718.95,43190.37,42175.74
2024-09-17,40860.66,43210.33,42197.98
2024-09-18,40816.86,43070.63,42015.59
2024-09-19,41828.36,43819.02,43076.15
2024-09-20,41807.51,43733.37,42994.29
2024-09-23,43103.47,44840.38,44168.53
2024-09-24,43398.55,44968.82,44380.95
2024-09-25,43309.46,44877.81,44421.98
2024-09-26,43327.11,45055.58,44754.74
2024-09-27,43074.79,45139.49,44506.76
2024-09-30,43970.99,46335.18,45627.4
2024-10-01,43431.21,45905.19,44993.51
2024-10-02,43359.69,45913.04,45056.91
2024-10-03,43199.04,45826.69,45023.35
2024-10-04,43957.34,46246.22,45557.48
2024-10-07,44273.18,46836.26,46074.34
2024-10-08,44879.36,47276.62,46760.49
2024-10-09,45373.74,47597.54,47127.38
2024-10-10,45406.82,47518.2,47074.02
2024-10-11,45828.88,47799.0,47147.4
2024-10-14,47060.29,49187.66,48541.94
2024-10-15,46067.43,48815.45,47894.84
2024-10-16,46155.42,49019.3,47900.68
2024-10-17,46406.35,49026.58,47933.76
2024-10-18,46764.91,49214.05,48247.09
2024-10-21,47884.68,50138.48,49339.5
2024-10-22,47606.38,50104.11,49393.13
